SKU,DataCadastroSistema,Categoria,DescricaoProduto,MarcaAparelho,Origem,PrecoVenda
594,2011-02-28,Manutenção LCD/ Touch,Vidro c/ Touchscreen Preto - iPad 1,Apple,Estrangeira - Importação direta,0
595,2011-03-21,Manutenção Botão,Tecla do Power - 3G/3GS,Android,Estrangeira - Importação direta,100
601,2011-03-27,Manutenção Carcaça/Vidro Traseiro,Carcaça iPad 1 3G Wi-fi,Apple,Estrangeira - Importação direta,250
603,2011-03-28,Manutenção Câmera,Câmera Traseira - iPhone 4,Apple,Estrangeira - Importação direta,50
604,2011-03-28,Manutenção Aro,Aro de iPhone 4,Apple,Estrangeira - Importação direta,500
605,2011-03-28,Manutenção Botão,Botão Power iPhone 4,Apple,Estrangeira - Importação direta,0
607,2011-03-28,Manutenção Botão,Vibra iPhone 4,Apple,Estrangeira - Importação direta,0
610,2011-03-28,Manutenção Botão,Tecla Home iPhone 4 - Preto,Apple,Estrangeira - Importação direta,50
625,2011-04-14,Manutenção Câmera,Câmera Frontal - iPhone 4,Apple,Estrangeira - Importação direta,50
626,2011-04-14,Manutenção Vibra / Volume / Power,Motor do Vibra - iPhone 4,Apple,Estrangeira - Importação direta,80
673,2011-06-03,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad 2 - Preto,Apple,Estrangeira - Importação direta,0
674,2011-06-04,Manutenção LCD/ Touch,LCD iPad 2,Apple,Estrangeira - Importação direta,0
681,2011-06-04,Manutenção Botão,Encaixe do Volume para iPhone 3G/S,Apple,Estrangeira - Importação direta,50
709,2011-07-05,Manutenção Flex do Home,Flex Home - iPod 4,Apple,Estrangeira - Importação direta,200
710,2011-07-05,Manutenção Wi-Fi,Módulo Wi-fi iPod 3º/4º Geração,Apple,Estrangeira - Importação direta,0
720,2011-07-11,Manutenção Wi-Fi,Flex antena Wi-FI - iPhone 4,Apple,Estrangeira - Importação direta,0
722,2011-07-11,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPod 4 - Preto,Apple,Estrangeira - Importação direta,200
725,2011-07-11,Manutenção Alto Falante,Alto-Falante iPhone 3G/S,Apple,Estrangeira - Importação direta,50
727,2011-07-15,Manutenção Conector,Conector de Carga - iPad 2,Apple,Estrangeira - Importação direta,0
728,2011-07-15,Manutenção Bateria,Bateria - iPad 2,Apple,Nacional,0
739,2011-07-16,Manutenção Microfone,Microfone - 3GS,Android,Estrangeira - Importação direta,100
743,2011-07-19,Manutenção Speaker,Speaker iPod - 4ª Geração,Apple,Estrangeira - Importação direta,100
744,2011-07-19,Manutenção Vibra / Volume / Power,Flex Volume e Power iPod 4ªG,Apple,Estrangeira - Importação direta,100
868,2011-08-09,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad 2 - Branco,Apple,Estrangeira - Importação direta,0
882,2011-08-29,Manutenção Antena de Sinal,Antena do sinal - 3GS,Android,Estrangeira - Importação direta,0
883,2011-08-29,Manutenção Antena de Sinal,Antena do sinal - iPhone 4,Apple,Estrangeira - Importação direta,0
887,2011-08-31,Manutenção Vibra / Volume / Power,Flex P2 (Wi-Fi) - iPad 2,Apple,Estrangeira - Importação direta,150
888,2011-08-31,Manutenção Flex do Fone,Flex P2 (3G) - iPad 2,Apple,Estrangeira - Importação direta,500
889,2011-08-31,Manutenção Vibra / Volume / Power,Flex Power - iPad 2,Apple,Estrangeira - Importação direta,180
890,2011-08-31,Manutenção Antena de Sinal,Antena 3G - iPad 2,Apple,Estrangeira - Importação direta,150
892,2011-09-06,Manutenção Flex do Fone,Conector do Áudio - iPad 1,Apple,Estrangeira - Importação direta,0
893,2011-09-06,Manutenção Bateria,Bateria - iPad 1,Apple,Nacional,0
894,2011-09-06,Manutenção Conector,Conector - iPad 1,Apple,Estrangeira - Importação direta,100
895,2011-09-06,Manutenção Conector,Flex Conector - iPad 1,Apple,Estrangeira - Importação direta,100
896,2011-09-06,Manutenção Flex do Home,Cabo Flex - iPad 1,Apple,Estrangeira - Importação direta,0
897,2011-09-06,Manutenção Carcaça/Vidro Traseiro,Carcaça iPad 2,Apple,Estrangeira - Importação direta,300
906,2011-09-15,Manutenção Carcaça/Vidro Traseiro,Carcaça iPod 4 32GB,Apple,Estrangeira - Importação direta,100
909,2011-09-26,Manutenção Sim Tray,Ejetor do Simtray iphone 4,Apple,Estrangeira - Importação direta,0
913,2011-10-01,Manutenção Botão,Tecla Home iPhone 4 - Branco,Apple,Estrangeira - Importação direta,50
1049,2011-10-15,Manutenção Carcaça/Vidro Traseiro,Tampa Traseiro iPhone 4 - Branco,Apple,Estrangeira - Importação direta,50
1057,2011-10-17,Manutenção Botão,Tecla home iPad 2 - Preto,Apple,Estrangeira - Importação direta,50
1058,2011-10-17,Manutenção Botão,Tecla home iPad 2 - Branco,Apple,Estrangeira - Importação direta,50
1096,2011-11-01,Manutenção Flex do Fone,Conector do Fone - iPod 4ªG,Apple,Estrangeira - Importação direta,100
1097,2011-11-01,Manutenção Botão,Botão volume iPad 2,Apple,Estrangeira - Importação direta,0
1100,2011-11-07,Manutenção Speaker,Speaker para iPad 2,Apple,Estrangeira - Importação direta,0
1109,2011-11-11,Manutenção Wi-Fi,Flex antena Wi-Fi - iPad 2,Apple,Estrangeira - Importação direta,0
1119,2011-11-14,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPhone 4 - Branco,Apple,Estrangeira - Importação direta,150
1194,2011-11-22,Manutenção Carcaça/Vidro Traseiro,Carcaça iPod 4 64GB,Apple,Estrangeira - Importação direta,100
1260,2011-12-21,Manutenção Câmera,Camera para iPod Touch 4º Geração Frontal,Apple,Estrangeira - Importação direta,50
1261,2011-12-21,Manutenção Câmera,Camera para iPod Touch 4º Geração Traseira,Apple,Estrangeira - Importação direta,150
1276,2011-12-26,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPhone 4S - Preto,Apple,Estrangeira - Importação direta,150
1277,2011-12-26,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPhone 4S - Branco,Apple,Estrangeira - Importação direta,150
1299,2012-01-06,Manutenção Carcaça/Vidro Traseiro,Carcaça iPod 4 16GB,Apple,Estrangeira - Importação direta,100
1355,2012-01-24,Manutenção Flex do Home,Flex Home - iPhone 4S,Apple,Estrangeira - Importação direta,300
1356,2012-01-24,Manutenção Alto Falante,Alto-Falante iPhone 4S,Apple,Estrangeira - Importação direta,50
1357,2012-01-24,Manutenção Câmera,Câmera Traseira - iPhone 4S,Apple,Estrangeira - Importação direta,50
1358,2012-01-24,Manutenção Flex do Fone,Flex Volume/P2 - iPhone 4S,Apple,Estrangeira - Importação direta,80
1360,2012-01-24,Manutenção Sim Tray,Simtray iPhone 4S,Apple,Estrangeira - Importação direta,50
1361,2012-01-24,Manutenção Speaker,Speaker - iPhone 4S,Apple,Estrangeira - Importação direta,0
1362,2012-01-24,Manutenção Carcaça/Vidro Traseiro,Tampa Traseiro iPhone 4s - Preto,Apple,Estrangeira - Importação direta,50
1363,2012-01-24,Manutenção Carcaça/Vidro Traseiro,Tampa Traseiro iPhone 4s - Branco,Apple,Estrangeira - Importação direta,50
1364,2012-01-24,Manutenção Vibra / Volume / Power,Motor do Vibra - iPhone 4S,Apple,Estrangeira - Importação direta,500
1367,2012-01-31,Manutenção Câmera,Câmera Traseira - iPad 2,Apple,Estrangeira - Importação direta,150
1368,2012-01-31,Manutenção Wi-Fi,Modulo Wi-Fi de iPad 2,Apple,Estrangeira - Importação direta,180
1394,2012-02-14,Manutenção Microfone,Microfone - iPhone 4S,Apple,Estrangeira - Importação direta,100
1395,2012-02-14,Manutenção Câmera,Camera Frontal - iPhone 4S,Apple,Estrangeira - Importação direta,50
1405,2012-02-23,Manutenção Câmera,Camera Frontal - iPad 2,Apple,Estrangeira - Importação direta,150
1435,2012-03-13,Manutenção Speaker,Speaker - iPhone 4S,Apple,Estrangeira - Importação direta,80
1436,2012-03-13,Manutenção Sim Tray,Gevey iPhone 4s,Apple,Estrangeira - Importação direta,50
1438,2012-03-14,Manutenção Bateria,Bateria de iPhone 4S,Apple,Estrangeira - Importação direta,50
1445,2012-03-21,Manutenção Sim Tray,Simtray iPad 2,Apple,Estrangeira - Importação direta,50
1455,2012-04-02,Manutenção Microfone,Tela de Proteção Speaker e Microfone,Android,Estrangeira - Importação direta,0
1485,2012-05-14,Manutenção Aro,Aro de iPhone 4s,Apple,Estrangeira - Importação direta,200
1494,2012-05-19,Manutenção LCD/ Touch,Vidro Touchscreen LCD iPod 4 - Branco,Apple,Estrangeira - Importação direta,200
1498,2012-05-24,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad 3/4 - Branco,Apple,Estrangeira - Importação direta,0
1499,2012-05-24,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad 3/4 - Preto,Apple,Estrangeira - Importação direta,0
1515,2012-06-01,Manutenção Botão,Tecla home ipod 4 - Preto,Android,Estrangeira - Importação direta,50
1516,2012-06-01,Manutenção Botão,Botão Vibra iPhone 4,Apple,Estrangeira - Importação direta,0
1517,2012-06-01,Manutenção Botão,Botão Volume iPhone 4,Apple,Estrangeira - Importação direta,0
1518,2012-06-01,Manutenção Speaker,Tela Anti Poeira iPhone,Apple,Estrangeira - Importação direta,0
1526,2012-06-12,Manutenção Flex do Home,Flex Home - iPad 2,Apple,Estrangeira - Importação direta,180
1644,2012-07-31,Manutenção Vibra / Volume / Power,Flex Power e Sensor de Proximidade - iPhone 4S,Apple,Estrangeira - Importação direta,80
1648,2012-08-06,Manutenção Carcaça/Vidro Traseiro,Carcaça iPod 4 8GB,Apple,Estrangeira - Importação direta,100
1701,2012-08-11,Manutenção Wi-Fi,Antena Wi-Fi - iPhone 4,Apple,Estrangeira - Importação direta,100
1712,2012-08-15,Manutenção Antena de Sinal,Antena de Sinal de iPad 3,Apple,Estrangeira - Importação direta,200
1713,2012-08-16,Manutenção Tag de Bateria,Conector de Bateria iPhone 4,Apple,Estrangeira - Importação direta,100
1714,2012-08-22,Manutenção Conector,Conector de Carga iPhone 4S - Preto,Apple,Estrangeira - Importação direta,100
1729,2012-08-28,Manutenção Sim Tray,Simtray iPad 1,Apple,Estrangeira - Importação direta,50
1941,2012-10-04,Manutenção LCD/ Touch,LCD iPad 3/4,Apple,Estrangeira - Importação direta,0
2049,2012-10-27,Manutenção Flex do Sensor,Flex Sensor de Proximidade Samsung Galaxy Nexus,Android,Estrangeira - Importação direta,0
2052,2012-10-27,Manutenção Botão,Botão do Volume Galaxy S3 Azul,Android,Estrangeira - Importação direta,0
2053,2012-10-27,Manutenção Conector,Flex Conector Samsung Galaxy S2,Android,Estrangeira - Importação direta,0
2054,2012-10-27,Manutenção Câmera,Câmera Samsung Galaxy S3,Android,Estrangeira - Importação direta,0
2055,2012-10-27,Manutenção Flex do Sensor,Flex Sensor Samsung Galaxy S3,Android,Estrangeira - Importação direta,0
2056,2012-10-27,Manutenção Botão,Botão do Volume Galaxy S3 Cinza,Android,Estrangeira - Importação direta,0
2058,2012-10-27,Manutenção Vibra / Volume / Power,Flex do Volume Samsung Galaxy S3,Android,Estrangeira - Importação direta,0
2059,2012-10-27,Manutenção Câmera,Câmera Frontal Samsung Galaxy S2,Android,Estrangeira - Importação direta,0
2060,2012-10-27,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy S3 i9505 - Azul,Android,Estrangeira - Importação direta,0
2061,2012-10-27,Manutenção Flex do Fone,Flex do Audio Jack Fone Samsung Galaxy S2,Android,Estrangeira - Importação direta,0
2062,2012-10-27,Manutenção Câmera,Câmera Samsung Galaxy Note i9220,Android,Estrangeira - Importação direta,0
2098,2012-10-31,Manutenção Sim Tray,Simtray iPad 3,Apple,Estrangeira - Importação direta,50
2197,2012-11-09,Manutenção Flex do Home,Flex Home - iPhone 5,Apple,Estrangeira - Importação direta,100
2200,2012-11-09,Manutenção Câmera,Câmera Traseira - iPhone 5,Apple,Estrangeira - Importação direta,50
2202,2012-11-09,Manutenção Conector,Conector de Carga iPhone 5- Branco,Apple,Estrangeira - Importação direta,150
2203,2012-11-09,Manutenção Botão,Botão Power Externo iPhone 5,Apple,Estrangeira - Importação direta,0
2204,2012-11-09,Manutenção Botão,Botão Volume Externo iPhone 5,Apple,Estrangeira - Importação direta,0
2205,2012-11-09,Manutenção Botão,Botão Vibra Externo iPhone 5,Apple,Estrangeira - Importação direta,0
2207,2012-11-12,Manutenção Vibra / Volume / Power,Motor do Vibra - iPhone 5,Apple,Estrangeira - Importação direta,500
2208,2012-11-12,Manutenção Vibra / Volume / Power,Flex Power/Volume/Vibra - iPhone 5,Apple,Estrangeira - Importação direta,500
2217,2012-11-16,Manutenção Conector,Conector de Carga - iPad 3,Apple,Estrangeira - Importação direta,0
2250,2012-11-20,Manutenção LCD/ Touch,Kit Vidro com Touch LCD Galaxy S2 - Preto,Android,Estrangeira - Importação direta,0
2381,2012-12-10,Manutenção LCD/ Touch,Kit Vidro com Touch LCD Galaxy S2 - Branco,Android,Estrangeira - Importação direta,0
2389,2012-12-19,Manutenção Flex do Home,Flex Home de iPad 1,Apple,Estrangeira - Importação direta,0
2391,2012-12-20,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy S3 i9505 - Branco,Android,Estrangeira - Importação direta,0
2398,2012-12-26,Manutenção LCD/ Touch,Vidro e touchscreen com LCD iPhone 5 - Branco,Apple,Estrangeira - Importação direta,200
2403,2012-12-29,Manutenção LCD/ Touch,Vidro e touchscreen com LCD iPhone 5 - Preto,Apple,Estrangeira - Importação direta,200
2617,2013-01-31,Manutenção Vibra / Volume / Power,Flex Power - iPad 3/4,Apple,Estrangeira - Importação direta,500
2629,2013-03-05,Manutenção Sim Tray,Simtray iPhone 5 - Prata,Apple,Estrangeira - Importação direta,50
2630,2013-03-05,Manutenção Sim Tray,Simtray iPhone 5 - Chumbo,Apple,Estrangeira - Importação direta,50
2636,2013-03-06,Manutenção Bateria,Bateria Galaxy S6,Android,Nacional,0
2641,2013-03-13,Manutenção Carcaça/Vidro Traseiro,Carcaça Completa Galaxy S3 - Azul,Android,Estrangeira - Importação direta,0
2642,2013-03-13,Manutenção Carcaça/Vidro Traseiro,Carcaça Completa Galaxy S3 - Branco,Android,Estrangeira - Importação direta,0
2646,2013-03-20,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 5 - Prata,Apple,Estrangeira - Importação direta,100
2655,2013-03-22,Manutenção Carcaça/Vidro Traseiro,Carcaça Galaxy S3 - Azul,Android,Estrangeira - Importação direta,100
2656,2013-03-22,Manutenção Carcaça/Vidro Traseiro,Carcaça Galaxy S3 - Branco,Android,Estrangeira - Importação direta,0
2657,2013-03-26,Manutenção LCD/ Touch,Vidro Touchscreen + LCD iPod Nano 6,Apple,Estrangeira - Importação direta,200
2693,2013-04-02,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 5 - Chumbo,Apple,Estrangeira - Importação direta,100
2697,2013-04-04,Manutenção Conector,Conector de Carga iPhone 5 - Preto,Apple,Estrangeira - Importação direta,150
2706,2013-04-05,Manutenção Carcaça/Vidro Traseiro,Carcaça Galaxy S2 - Branco,Android,Estrangeira - Importação direta,100
2707,2013-04-05,Manutenção Carcaça/Vidro Traseiro,Carcaça Galaxy S2 - Preto,Android,Estrangeira - Importação direta,0
2719,2013-04-10,Manutenção Antena de Sinal,Antena de Sinal iPhone 4s,Apple,Estrangeira - Importação direta,50
2721,2013-04-13,Manutenção Alto Falante,Alto-Falante iPhone 5,Apple,Estrangeira - Importação direta,50
2722,2013-04-15,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad Mini 1/2 - Branco,Apple,Estrangeira - Importação direta,0
2723,2013-04-15,Manutenção LCD/ Touch,LCD iPad Mini,Apple,Estrangeira - Importação direta,0
2724,2013-04-16,Manutenção Vibra / Volume / Power,Flex Power/Volume - iPod Nano,Apple,Estrangeira - Importação direta,100
2725,2013-04-18,Manutenção Bateria,Bateria de iPhone 5,Apple,Estrangeira - Importação direta,150
2730,2013-04-23,Manutenção Wi-Fi,Álcool Isopropílico,Android,Nacional,0
2743,2013-04-29,Manutenção Vibra / Volume / Power,Flex do Power Galaxy S2,Android,Estrangeira - Importação direta,0
2811,2013-05-15,Manutenção Flex do Home,Flex Home - iPad 3/4,Apple,Estrangeira - Importação direta,200
2837,2013-05-20,Manutenção Carcaça/Vidro Traseiro,Carcaça iPad Mini,Apple,Estrangeira - Importação direta,0
2838,2013-05-20,Manutenção iPod Nano,Flex do Volume + Power iPod Nano,Apple,Estrangeira - Importação direta,0
2842,2013-05-20,Manutenção Vibra / Volume / Power,Cabo Flex Power   Volume do iPad Mini 1,Apple,Estrangeira - Importação direta,250
2844,2013-05-20,Manutenção Flex do Fone,Cabo Flex do Fone iPad Mini - Preto,Apple,Estrangeira - Importação direta,250
2845,2013-05-20,Manutenção Flex do Fone,Cabo Flex do Fone iPad Mini - Branco,Apple,Estrangeira - Importação direta,250
2847,2013-05-22,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy Note 2 i9200 - Preto,Android,Estrangeira - Importação direta,0
2862,2013-05-29,Manutenção Speaker,Speaker - iPad 2,Apple,Estrangeira - Importação direta,0
2867,2013-06-06,Manutenção Speaker,Speaker - iPad 3,Apple,Estrangeira - Importação direta,0
2880,2013-06-14,Manutenção LCD/ Touch,Vidro com Touch Galaxy S Duos,Android,Estrangeira - Importação direta,0
2881,2013-06-15,Manutenção Aro,Aro Plástico iPad 2/3/4 - Preto,Apple,Estrangeira - Importação direta,50
2886,2013-06-27,Manutenção Speaker,Speaker para iPad 1,Apple,Estrangeira - Importação direta,150
2914,2013-06-28,Manutenção Carcaça/Vidro Traseiro,Carcaça Completa Galaxy S2 - Branca,Android,Estrangeira - Importação direta,0
2930,2013-07-03,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad Mini 1/2 - Preto,Apple,Estrangeira - Importação direta,0
2933,2013-07-04,Manutenção LCD/ Touch,Vidro com touch Galaxy Note 1 - Preto,Android,Estrangeira - Importação direta,0
2961,2013-07-11,Manutenção Conector,Conector de Carga do Galaxy S3,Android,Estrangeira - Importação direta,0
3052,2013-07-12,Manutenção LCD/ Touch,Cabo Flex do LCD do iPad 2,Apple,Estrangeira - Importação direta,0
3054,2013-07-15,Manutenção Botão,Tecla Home iPhone 4S - Preto,Apple,Estrangeira - Importação direta,50
3055,2013-07-15,Manutenção Botão,Tecla Home iPhone 4S - Branco,Apple,Estrangeira - Importação direta,50
3056,2013-07-15,Manutenção Wi-Fi,Flex antena Wi-Fi - iPad 3/4,Apple,Estrangeira - Importação direta,200
3065,2013-07-17,Manutenção Flex do Home,Flex do Home iPad Mini,Apple,Estrangeira - Importação direta,200
3087,2013-07-26,Manutenção Botão,Tecla home ipod 4 - Branco,Android,Estrangeira - Importação direta,50
3097,2013-08-13,Manutenção Carcaça/Vidro Traseiro,Carcaça iPod 4 64GB,Apple,Estrangeira - Importação direta,100
3098,2013-08-13,Manutenção Carcaça/Vidro Traseiro,Carcaça iPad 3 (A1416),Apple,Estrangeira - Importação direta,0
3099,2013-08-13,Manutenção Conector,Conector de Carga iPad Mini - Preto,Apple,Estrangeira - Importação direta,250
3147,2013-08-20,Manutenção Microfone,Microfone da Camera Frontal iPad 2,Apple,Estrangeira - Importação direta,180
3190,2013-09-24,Manutenção Speaker,Speaker - iPhone 5,Apple,Nacional,400
3317,2013-10-31,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy S4 i9505 - Azul,Android,Estrangeira - Importação direta,0
3318,2013-10-31,Manutenção Carcaça/Vidro Traseiro,Carcaça Galaxy S4 - Azul,Android,Estrangeira - Importação direta,0
3369,2013-11-12,Manutenção LCD/ Touch,Vidro com Touch + LCD Galaxy Note 1 - Branco,Android,Estrangeira - Importação direta,0
3406,2013-11-22,Manutenção Wi-Fi,Antena Wi-Fi - iPad 4,Apple,Estrangeira - Importação direta,200
3462,2013-12-18,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPhone 5C - Preto,Apple,Estrangeira - Importação direta,200
3526,2014-01-03,Manutenção Conector,Conector de Carga Galaxy Note 1,Android,Estrangeira - Importação direta,0
3528,2014-01-06,Manutenção Speaker,Speaker Galaxy S3,Android,Estrangeira - Importação direta,0
3529,2014-01-06,Manutenção Microfone,Microfone Galaxy S3,Android,Estrangeira - Importação direta,0
3532,2014-01-10,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD para iPhone 5S - Branco,Apple,Estrangeira - Importação direta,0
3533,2014-01-10,Manutenção LCD/ Touch,Vidro e touchscreen com LCD iPhone 5S - Preto,Apple,Estrangeira - Importação direta,250
3534,2014-01-13,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 3Gs 8GB - Preto,Apple,Estrangeira - Importação direta,100
3554,2014-01-24,Manutenção Flex do Home,Flex Home iPhone 5S/SE - Preto,Apple,Estrangeira - Importação direta,150
3555,2014-01-24,Manutenção Flex do Home,Flex Home iPhone 5S/SE - Prata,Apple,Estrangeira - Importação direta,150
3556,2014-01-24,Manutenção Flex do Home,Flex Home iPhone 5S/SE - Dourado,Apple,Estrangeira - Importação direta,200
3573,2014-01-28,Manutenção Botão,Tecla Home iPhone 5 - Branco,Apple,Estrangeira - Importação direta,50
3576,2014-02-07,Manutenção Carcaça/Vidro Traseiro,Carcaça iPad Mini,Apple,Estrangeira - Importação direta,350
3612,2014-02-19,Manutenção Vibra / Volume / Power,Suporte do Vibra iPhone 3G/s,Apple,Estrangeira - Importação direta,100
3660,2014-03-07,Manutenção Wi-Fi,Antena Wi-Fi - iPhone 4S,Apple,Estrangeira - Importação direta,80
3719,2014-03-17,Manutenção LCD/ Touch,Kit Vidro com Touch LCD Samsung Galaxy S3 - Cinza,Android,Estrangeira - Importação direta,0
3746,2014-03-27,Manutenção Conector,Conector de Carga iPhone 5S - Preto,Apple,Estrangeira - Importação direta,0
3747,2014-03-27,Manutenção Bateria,Bateria de iPhone 5S,Apple,Nacional,100
3751,2014-03-31,Manutenção Alto Falante,Alto-Falante iPhone 5S/SE,Apple,Estrangeira - Importação direta,200
3790,2014-04-05,Manutenção Speaker,Speaker Galaxy S2,Android,Estrangeira - Importação direta,0
3796,2014-04-24,Manutenção LCD/ Touch,Vidro c/ Touchscreen iPad Air (A1474 / A1475 / A1476) - Preto,Apple,Estrangeira - Importação direta,0
3799,2014-04-30,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPod 5 - Preto,Apple,Estrangeira - Importação direta,300
3800,2014-05-09,Manutenção Câmera,Câmera Traseira - iPhone 5S,Apple,Estrangeira - Importação direta,150
3823,2014-05-20,Manutenção Carcaça/Vidro Traseiro,Carcaça iPhone 5S - Prata,Apple,Estrangeira - Importação direta,100
3825,2014-05-23,Manutenção Conector,Conector de Carga iPhone 5S - Branco,Apple,Estrangeira - Importação direta,0
3871,2014-07-09,Manutenção Botão,Tecla Home iPhone 5 - Preto,Apple,Estrangeira - Importação direta,50
3879,2014-07-14,Manutenção LCD/ Touch,Vidro c/ Touchscreen e LCD iPod 5 - Branco,Apple,Estrangeira - Importação direta,300
3881,2014-07-15,Manutenção Aro,Aro do Fone iPhone 3G/s,Apple,Estrangeira - Importação direta,0
3882,2014-07-16,Manutenção Vibra / Volume / Power,Flex Power/Volume/Vibra - iPhone 5S,Apple,Estrangeira - Importação direta,200
3897,2014-07-24,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy S4 i9505 - Branco,Android,Estrangeira - Importação direta,0
3898,2014-07-24,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy Note 3 N9005 - Preto,Android,Estrangeira - Importação direta,0
3899,2014-07-24,Manutenção LCD/ Touch,Vidro Touchscreen e LCD Galaxy Note 3 N9005 - Branco,Android,Estrangeira - Importação direta,0
